AuthorName	TitleName	TagName
Azuela, Mariano	Sin amor	Literatura Hispanoamericana
Azorín	Los valores literarios	Literatura Hispanoamericana
Austen, Jane	Sentido y sensibilidad	Palabras sinfónicas (audiolibros)
Austen, Jane	Sentido y sensibilidad	Literatura Universal
Austen, Jane	Sense and Sensibility	Literatura Universal
Austen, Jane	Pride and Prejudice	Infantil y juvenil
Austen, Jane	Orgullo y prejuicio	Literatura Universal
Austen, Jane	Love and friendship	Literatura Universal
Austen, Jane	Lady Susan	Literatura Universal
Austen, Jane	Lady Susan	Literatura Universal
Austen, Jane	Emma	Literatura Universal
Austen, Jane	Emma	Literatura Universal
Austen, Jane	El castillo de Lesley	Literatura Universal
Austen, Jane	Amor y amistad	Literatura Universal
Aurelius, Marcus	Meditations	Autoayuda
Aurelio, Marco	Meditaciones de Marco Aurelio	Autoayuda
Asunción Silva, José	Poesías	Literatura Hispanoamericana
ASUME	Curso para maestros nivel 1 superacion humana	Palabras sinfónicas (audiolibros)
Asensi, Julia de	Santiago Arabal. Historia de un pobre niño	Literatura Hispanoamericana
Arlt, Roberto	Los siete locos	Literatura Hispanoamericana
Arlt, Roberto	El juguete rabioso	Literatura Hispanoamericana
Arlt, Roberto	El jorobadito y otros cuentos	Literatura Hispanoamericana
Aristóteles	Del sentido y lo sensible	Ensayo
Aristóteles	Del sentido y lo sensible	Autoayuda
Aristóteles	Acerca del alma	Ensayo
Aristophanes	The frogs	Literatura Universal
Aristófanes	Comedias III	Literatura Universal
Aristófanes	Comedias II	Literatura Universal
Aristófanes	Comedias I	Literatura Universal
Ariosto, Ludovico	Orlando furioso Tomo II	Literatura Universal
Ariosto, Ludovico	Orlando furioso Tomo I	Literatura Universal
Anónimo	Popol Vuh	Literatura Hispanoamericana
Anónimo	Popol Vuh	Historia y Novela histórica
Anónimo	Las mil y una noches	Literatura Universal
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades.	Palabras sinfónicas (audiolibros)
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades	Literatura Universal
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades	Literatura Hispanoamericana
Anónimo	Cantar de Mio Cid	Literatura Universal
Anónimo	Cantar de Mio Cid	Literatura Hispanoamericana
Andréiev, Leonid	El abismo	Literatura Universal
Andersen, Hans Christian	La Reina de las Nieves	Literatura Universal
Andersen, Hans Christian	El patito feo	Literatura Universal
Andersen, H. C.	The ugly duckling	Infantil y juvenil
Andersen, H. C.	The snow Queen	Infantil y juvenil
Andersen, H. C.	The little mermaid	Infantil y juvenil
Ancona, Eligio	Los mártires del Anáhuac	Palabras sinfónicas (audiolibros)
Ancona, Eligio	Los mártires del Anáhuac	Literatura Hispanoamericana
Ancona, Eligio	Los mártires del Anáhuac	Historia y Novela histórica
Alzate, José Antonio de	Caracteres del indio de la Nueva España y otros escritos	Historia y Novela histórica
Altamirano, Manuel	Cuentos de invierno	Literatura Hispanoamericana
Altamirano, Manuel	Clemencia	Literatura Hispanoamericana
Altamirano, Manuel	Clemencia	Historia y Novela histórica
Altamirano, Ignacio Manuel	Navidad en las montañas	Literatura Universal
Altamirano, Ignacio Manuel	El Zarco	Palabras sinfónicas (audiolibros)
Altamirano, Ignacio Manuel	El Zarco	Literatura Hispanoamericana
Altamirano, Ignacio Manuel	El Zarco	Historia y Novela histórica
Alonso, Manuel Antonio	El Gibaro: Cuadro de costumbres de la isla de Puerto Rico	Literatura Hispanoamericana
Allen, James	La realización de la prosperidad y la paz	Autoayuda
Allen, James	El camino de la paz	Autoayuda
Alighieri, Dante	The divine comedy	Literatura Universal
Alighieri, Dante	La divina comedia	Palabras sinfónicas (audiolibros)
Alighieri, Dante	La Divina Comedia	Literatura Universal
Alcott, Louisa May	Mujercitas	Literatura Universal
Alcott, Louisa May	Mujercitas	Infantil y juvenil
Alcott, Louisa May	Little Women	Infantil y juvenil
Alas Clarín, Leopoldo	Su único hijo	Literatura Hispanoamericana
Alas Clarín, Leopoldo	La Regenta	Literatura Universal
Alas Clarín, Leopoldo	La Regenta	Literatura Hispanoamericana
Alas Clarín, Leopoldo	¡Adiós, Cordera!	Literatura Universal
Alarcón, Pedro Antonio de	Viajes por España	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El sombrero de tres picos	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El niño de la bola	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El clavo	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El capitán veneno	Literatura Hispanoamericana
Aimard, Gustave	Los merodeadores de fronteras	Literatura Universal
Aimard, Gustave	Las noches mejicanas	Literatura Universal
Aguinaldo, Emilio	Reseña verídica de la Revolución Filipina	Literatura Universal
Aeschylus	The persians	Literatura Universal
Aeschylus	Prometheus bound	Literatura Universal
Adler, María Raquel	Místicas	Literatura Hispanoamericana
Acuña, Manuel	Selección de poemas (Acuña, Manuel)	Literatura Hispanoamericana
Acosta, Soledad	La mujer en la sociedad moderna	Historia y Novela histórica
Acosta, Soledad	La mujer en la sociedad moderna	Ensayo
Acosta, Soledad	La mujer en la sociedad moderna	Autoayuda
Acosta, José de	Historia Natural y moral de las Indias	Historia y Novela histórica
About, Edmond	La nariz de un notario	Literatura Universal
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Ensayo
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Autoayuda
