AuthorName	TitleName	TagName
Bustamante, Carlos María de	Tres estudios sobre don José María Morelos y Pavón	Historia y Novela histórica
Burroughs, Edgar Rice	Tarzán de los monos	Literatura Universal
Burnett, Frances Hodgson	La princesita	Literatura Universal
Burnett, Frances Hodgson	El jardín secreto	Literatura Universal
Burnett, Frances Hodgson	A Little Princess	Literatura Universal
Bulgákov, Mijaíl	Maleficios	Literatura Universal
Bulgákov, Mijaíl	El maestro y Margarita	Literatura Universal
Bulgákov, Mijaíl	Corazón de perro	Literatura Universal
Brooke, L. Leslie	The Story of the Three Little Pigs	Literatura Universal
Brooke, L. Leslie	The Story of the Three Little Pigs	Infantil y juvenil
Brontë, Emily	Wuthering Heights	Literatura Universal
Brontë, Emily	Cumbres Borrascosas	Literatura Universal
Brontë, Anne	Agnes Grey	Literatura Universal
Bonaparte, Napoleón	Máximas y pensamientos	Autoayuda
Bolivar, Simón	Carta de Jamaica	Ensayo
Blasco Ibáñez, Vicente	La catedral	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	La bodega	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	Entre naranjos	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	El fantasma de las alas de oro	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	Arroz y tartana	Literatura Hispanoamericana
Blanco-Fombona, Rufino	Cuentos de poeta	Literatura Hispanoamericana
Blanco Asenjo, Ricardo	La calavera denunciadora	Literatura Hispanoamericana
Bierce, Ambrose	Cuentos de horror	Literatura Universal
Bello, Andrés	Gramática de la lengua castellana destinada al uso de los americanos	Ensayo
Beecher Stowe, Harriet	La cabaña del tío Tom	Literatura Universal
Bécquer, Gustavo Adolfo	Leyendas	Literatura Universal
Bécquer, Gustavo Adolfo	Leyendas	Infantil y juvenil
Baum, L. Frank	El mago de Oz	Literatura Universal
Baum, L. Frank	El mago de Oz	Infantil y juvenil
Baudelaire, Charles	The flowers of evil	Literatura Universal
Baudelaire, Charles	Las flores del mal	Literatura Universal
Barrie, James Matthew	Peter Pan y Wendy	Literatura Universal
Barrie, James Matthew	Peter Pan y Wendy	Infantil y juvenil
Barrie, J. M.	Peter Pan	Infantil y juvenil
Barranco, Mariano	Tres comedias modernas en un acto y en prosa	Literatura Hispanoamericana
Baroja, Pío	Los caudillos de 1830	Historia y Novela histórica
Baroja, Pío	Los caminos del mundo	Literatura Hispanoamericana
Baroja, Pío	El árbol de la ciencia	Literatura Hispanoamericana
Baroja, Pío	El árbol de la ciencia	Ensayo
Baroja, Pío	El aprendiz de conspirador	Literatura Hispanoamericana
Baroja, Pío	El amor, el dandysmo y la intriga	Literatura Hispanoamericana
Barcia, Roque	Un paseo por París	Literatura Hispanoamericana
Bannerman, Helen	Little Black Sambo	Infantil y juvenil
Bannerman, Helen	Astronomía recreativa	Académicos
Balzac, Honoré de	Father Goriot	Literatura Universal
Balmes, Jaime Luciano	Filosofía fundamental Tomo IV	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo III	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo II	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo I	Literatura Hispanoamericana
Bacon, Francis	New Atlantis	Literatura Universal
