AuthorName	TitleName	TagName
Eurípides	Medea	Literatura Universal
Esquilo	Prometeo encadenado	Literatura Universal
Esquilo	Los persas	Literatura Universal
Esquilo	Las euménides	Literatura Universal
Esquilo	Las coéforas	Literatura Universal
Esquilo	Agamenón	Literatura Universal
Espronceda, José de	El estudiante de Salamanca	Literatura Universal
Espinosa, Agustín	Crimen	Literatura Hispanoamericana
Epicteto	Enquiridión o manual de epicteto	Ensayo
Eliot, George	The Mill on the Floss	Literatura Universal
Eguren, José María	Poemas (Eguren, José María)	Literatura Hispanoamericana
Eça de Queiros, José María	La reliquia	Literatura Universal
Eça de Queiros, José María	El Mandarín	Literatura Universal
Eça de Queiros, José María	Adán y Eva en el paraíso	Literatura Universal
