AuthorName	TitleName	TagName
Fundación Carlos Slim	Who am I?	Infantil y juvenil
Fundación Carlos Slim	Who am I?	Infantil y juvenil
Fundación Carlos Slim	Memoria de la Unidad Temporal Covid - 19	Memorias
Fundación Carlos Slim	Guía práctica para el desarrollo de tu hijo	Académicos
Fundación Carlos Slim	¿Quién Soy?	Infantil y juvenil
Fundación Carlos Slim	¿Quién Soy?	Infantil y juvenil
Frías, Heriberto	Tomochic	Literatura Hispanoamericana
Frías, Heriberto	Tomochic	Historia y Novela histórica
Franklin, Benjamin	El camino a la riqueza	Autoayuda
Flores, Manuel María	Poesía	Literatura Hispanoamericana
Flaubert, Gustave	La educación sentimental	Literatura Universal
Fitzgerald, F. Scott	The Great Gatsby	Literatura Universal
Fitzgerald, F. Scott	Sobre la escritura	Ensayo
Fitzgerald, F. Scott	El gran Gatsby	Literatura Universal
Fitzgerald, F. Scott	El curioso caso de Benjamin Button	Literatura Universal
Fitzgerald, F. Scott	El crucero de la Chatarra Rodante	Literatura Universal
Fernández de Moratín, Leandro	El sí de las niñas	Literatura Universal
Fernández de Moratín, Leandro	El sí de las niñas	Literatura Hispanoamericana
Fernández de Lizardi, José Joaquín	El Periquillo Sarniento	Literatura Universal
Fernández de Lizardi, José Joaquín	El Periquillo Sarniento	Literatura Hispanoamericana
Fernández Bremón, José	La vista de los ciegos	Literatura Hispanoamericana
Feijoo, Benito Jerónimo	Teatro crítico universal	Literatura Hispanoamericana
Feijoo, Benito Jerónimo	Teatro crítico universal	Ensayo
