AuthorName	TitleName	TagName
Gutiérrez Nájera, Manuel	Selección de poemas (Gutiérrez Nájera, Manuel)	Literatura Hispanoamericana
Gutiérrez Nájera, Manuel	El arte y el materialismo	Ensayo
Gutiérrez Nájera, Manuel	Cuentos frágiles	Palabras sinfónicas (audiolibros)
Gutiérrez Nájera, Manuel	Cuentos frágiles	Literatura Hispanoamericana
Guiteras, Pedro José	Historia de la conquista de la Habana	Palabras sinfónicas (audiolibros)
Guiteras, Pedro José	Historia de la conquista de la Habana	Historia y Novela histórica
Güiraldes, Ricardo	Xaimaca	Literatura Hispanoamericana
Güiraldes, Ricardo	Xaimaca	Historia y Novela histórica
Guerrero, Teodoro	Al calor del hogar. Impresiones y cantares	Literatura Hispanoamericana
Grimm (Hermanos)	La reina de las abejas	Palabras sinfónicas (audiolibros)
Gracián, Baltasar	El héroe	Autoayuda
Gracián, Baltasar	El arte de la prudencia	Ensayo
Gracián, Baltasar	El arte de la prudencia	Autoayuda
Gorostiza, Eduardo de	Contigo pan y cebolla	Literatura Hispanoamericana
Gógol, Nikolái	Nochebuena	Literatura Universal
Gógol, Nikolái	Diario de un loco	Literatura Universal
Goethe	The Sorrows of Young Werther	Literatura Universal
Goethe	Las penas del joven Werther	Literatura Universal
Goethe	Fausto	Literatura Universal
Goethe	Faust: A Tragedy	Literatura Universal
Gilman, Charlotte Perkins	El tapiz amarillo	Literatura Universal
Gilman, Charlotte Perkins	Dellas. Un mundo femenino	Literatura Universal
Garcilaso, Inca	Comentarios reales de los Incas	Palabras sinfónicas (audiolibros)
García Lorca, Federico	Los títeres de cachiporra	Literatura Hispanoamericana
García Lorca, Federico	La zapatera prodigiosa	Literatura Hispanoamericana
García Lorca, Federico	La casa de Bernarda Alba	Literatura Hispanoamericana
García Lorca, Federico	El público	Literatura Hispanoamericana
García Lorca, Federico	Bodas de sangre	Literatura Hispanoamericana
