AuthorName	TitleName	TagName
Humphreys, Eliza Margaret Jane	Two bad blue eyes	Literatura Universal
Humboldt, Alexander von	Cosmos: ensayo de una descripción física del mundo	Ensayo
Huho, Victor	Les Misérables	Literatura Universal
Hugo, Victor	Pamplona	Literatura Universal
Hugo, Victor	Nuestra Señora de París	Literatura Universal
Hugo, Victor	Nuestra Señora de París	Infantil y juvenil
Hugo, Victor	Notre-Dame de Paris	Literatura Universal
Hugo, Victor	Los miserables	Literatura Universal
Hugo, Victor	El rey se divierte	Literatura Universal
Hugo, Victor	El exilio	Ensayo
Hoyos y Vinent, Antonio de	El monstruo	Literatura Universal
Howard, Robert E.	Black Canaan	Literatura Universal
Homero	Odisea	Literatura Universal
Homero	La Ilíada	Literatura Universal
Homer	The Odyssey	Literatura Universal
Homer	The Iliad	Literatura Universal
Hoffmann, E. T. A.	El hombre de arena	Literatura Universal
Hoffmann, E. T. A.	El Cascanueces y el Rey de los Ratones	Infantil y juvenil
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Infantil y juvenil
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Infantil y juvenil
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hoffman, E. T. A.	The sand-man	Literatura Universal
Hipócrates	Aforismos y sentencias	Ensayo
Hesse, Herman	Siddhartha	Ensayo
Hesiodo	Trabajos y días	Autoayuda
Heródoto	Los nueve libros de la historia	Literatura Universal
Heródoto	Los nueve libros de la historia	Historia y Novela histórica
Hernández, José	El gaucho Martín Fierro	Palabras sinfónicas (audiolibros)
Hernández, José	El gaucho Martín Fierro	Literatura Universal
Hernández, José	El gaucho Martín Fierro	Literatura Hispanoamericana
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Literatura Universal
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Literatura Universal
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Infantil y juvenil
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Infantil y juvenil
Hermanos Grimm	Las tres hilanderas	Palabras sinfónicas (audiolibros)
Hermanos Grimm	Las tres hilanderas	Infantil y juvenil
Hermanos Grimm	Juan el fiel	Infantil y juvenil
Hermanos Grimm	Hermano y hermana	Infantil y juvenil
Hermanos Grimm	El flautista de Hamelín	Literatura Universal
Hermanos Grimm	El flautista de Hamelín	Infantil y juvenil
Hermanos Grimm	Blancanieves	Literatura Universal
Hemingway, Ernest	Por quién doblan las campanas	Literatura Universal
Hemingway, Ernest	El viejo y el mar	Literatura Universal
Hemingway, Ernest	El viejo y el mar	Literatura Universal
Hemingway, Ernest	El viejo y el mar	Ensayo
Hemingway, Ernest	El viejo y el mar	Ensayo
Hawthorne, Nathaniel	The Scarlet Letter	Literatura Universal
Hawthorne, Nathaniel	La letra escarlata	Literatura Universal
Hartwell, E. C.	The teaching of History	Ensayo
Hale, Edward Everett	The man without a country and other tales	Literatura Universal
H.P Lovecraft	El horror de Dunwich	Literatura Universal
