AuthorName	TitleName	TagName
Kirby, William	The golden dog	Literatura Universal
Kipling, Rudyard	El libro de la selva	Infantil y juvenil
Kipling, Rudyard	Capitanes intrépidos	Literatura Universal
Kierkegaard, Sören	Diario de un seductor	Literatura Universal
Khalil Gibrán, Gibrán	El Profeta	Literatura Universal
Khalil Gibrán, Gibrán	El Profeta	Autoayuda
Kafka, Franz	Metamorphosis	Literatura Universal
Kafka, Franz	La metamorfosis	Palabras sinfónicas (audiolibros)
Kafka, Franz	La metamorfosis	Literatura Universal
Kafka, Franz	La condena	Literatura Universal
Kafka, Franz	Ante la ley	Literatura Universal
