AuthorName	TitleName	TagName
Lugones, Leopoldo	Las manzanas verdes	Literatura Hispanoamericana
Loyola, Ignacio de	Ejercicios espirituales	Ensayo
Loyola, Ignacio de	Ejercicios espirituales	Autoayuda
Lovecraft, H.P.	The Dunwich Horror	Literatura Universal
Lovecraft, H.P.	The call of Cthulhu	Infantil y juvenil
Lovecraft, H.P.	Selección de cuentos (Lovecraft, H.P.)	Palabras sinfónicas (audiolibros)
Lovecraft, H.P.	Selección de cuentos (Lovecraft, H.P.)	Literatura Universal
Lovecraft, H.P.	Misterioso barco a la deriva rescatado en alta mar	Infantil y juvenil
Lovecraft, H.P.	El caos reptante	Infantil y juvenil
Lovecraft, H.P.	El alquimista	Infantil y juvenil
López Velarde, Ramón	Zozobra	Literatura Hispanoamericana
López Velarde, Ramón	La sangre devota	Literatura Hispanoamericana
López Velarde, Ramón	El minutero	Literatura Hispanoamericana
Lope de Vega, Félix	Fuenteovejuna	Literatura Universal
Lope de Vega, Félix	Fuenteovejuna	Literatura Hispanoamericana
London, Jack	The call of the wild	Infantil y juvenil
London, Jack	La llamada de la selva	Literatura Universal
London, Jack	La llamada de la selva	Infantil y juvenil
Leroux, Gastón	El fantasma de la ópera	Literatura Universal
Leroux, Gaston	The Phantom of the Opera	Literatura Universal
Lawrence, D. H.	El zorro	Literatura Universal
Lawrence, D. H.	El arco iris	Literatura Universal
