AuthorName	TitleName	TagName
Moro, Tomás	Utopía	Literatura Universal
More, Thomas	Utopia	Literatura Universal
Montgomery, Lucy Maud	Ana de las tejas verdes	Literatura Universal
Montgomery, L. M.	The golden road	Literatura Universal
Montgomery, L. M.	Rainbow Valley	Literatura Universal
Montessori, Maria	Dr. Montessori's own Handbook	Ensayo
Montaigne, Michel de	Selección de ensayos (Montaigne, Michel de)	Literatura Universal
Montaigne, Michel de	Selección de ensayos (Montaigne, Michel de)	Ensayo
Montaigne, Michel de	Selección de ensayos	Palabras sinfónicas (audiolibros)
Montaigne, Michel de	Essays of Michel de Montaigne	Ensayo
Molina, Tirso de	Celos con celos se curan	Literatura Universal
Molina, Tirso de	Celos con celos se curan	Literatura Hispanoamericana
Mistral, Gabriela	Desolación, Ternura, Tala, Lagar	Literatura Hispanoamericana
Milton, John	Paradise Lost	Literatura Universal
Milton, John	El paraíso perdido	Literatura Universal
Milne, A. A.	Winny de Puh	Infantil y juvenil
Milne, A. A.	Winnie the Pooh	Infantil y juvenil
Milne, A. A.	El rincón de Puh	Infantil y juvenil
Milne, A. A.	El misterio de la casa roja	Literatura Universal
Melville, Herman	Pierre; or The Ambiguities	Literatura Universal
Melville, Herman	Pierre o las ambigüedades	Literatura Universal
Melville, Herman	Moby Dick	Palabras sinfónicas (audiolibros)
Melville, Herman	Moby Dick	Literatura Universal
Melville, Herman	Moby Dick	Infantil y juvenil
Melville, Herman	Moby Dick	Infantil y juvenil
Melville, Herman	Las encantadas	Literatura Universal
Melville, Herman	Bartleby, the Scrivener: A Story of Wall-Street	Literatura Universal
Melville, Herman	Bartleby, el escribiente	Literatura Universal
McSpadden, J. Walker	Robin Hood	Literatura Universal
May Alcott, Louisa	Mujercitas	Palabras sinfónicas (audiolibros)
Maupassant, Guy de	The Horla	Literatura Universal
Maupassant, Guy de	El Horla	Literatura Universal
Martí, José	Nuestra América	Literatura Hispanoamericana
Martí, José	Nuestra América	Historia y Novela histórica
Martí, José	Nuestra América	Ensayo
Martí, José	Amistad funesta	Palabras sinfónicas (audiolibros)
Martí, José	Amistad funesta	Literatura Hispanoamericana
Martí, José	Amistad funesta	Ensayo
Mármol, José	Amalia	Literatura Hispanoamericana
Marlowe, Christopher	The Tragical History of Doctor Faustus	Literatura Universal
Marlowe, Christopher	La trágica historia del doctor Fausto	Literatura Universal
Marlowe, Christopher	Edward the second	Literatura Universal
Mariátegui, José	Siete ensayos de interpretación de la realidad peruana	Ensayo
Maquiavelo, Nicolás	La Mandrágora	Literatura Universal
Maquiavelo, Nicolás	El príncipe	Literatura Universal
Mansilla, Lucio V.	Una excursión a los indios ranqueles Tomo 1	Literatura Hispanoamericana
Mann, Thomas	La montaña mágica	Literatura Universal
Mann, Heinrich	El súbdito	Literatura Universal
Mann, Heinrich	El ángel azul	Literatura Universal
Malory, Thomas	El Rey Arturo y los Caballeros de la Mesa Redonda	Literatura Universal
Malory, Thomas	El Rey Arturo y los Caballeros de la Mesa Redonda	Historia y Novela histórica
Machiavelli, Nicolò	The Prince	Literatura Universal
Machado, Antonio	Juan de Mairena	Literatura Hispanoamericana
Machado, Antonio	Juan de Mairena	Historia y Novela histórica
Machado, Antonio	Abel Martín	Literatura Universal
