AuthorName	TitleName	TagName
Pushkin, Aleksandr S.	El jinete de bronce	Literatura Universal
Pujol de Collado, Josefa	Amor de madre	Literatura Hispanoamericana
Proust, Marcel	Sodoma y Gomorra	Literatura Universal
Proust, Marcel	Por el camino de Swann	Literatura Universal
Proust, Marcel	La prisionera	Literatura Universal
Proust, Marcel	La fugitiva	Literatura Universal
Proust, Marcel	El tiempo recobrado	Literatura Universal
Proust, Marcel	El mundo de Guermantes	Literatura Universal
Proust, Marcel	A la sombra de las muchachas en flor	Literatura Universal
Prieto, Guillermo	Cuadros de costumbres	Historia y Novela histórica
Potter, Beatrix	The Tale of Tom Kitten	Infantil y juvenil
Potter, Beatrix	The Tale of Tom Kitten	Infantil y juvenil
Potter, Beatrix	The Tale of Squirrel Nutkin	Infantil y juvenil
Potter, Beatrix	The Tale of Squirrel Nutkin	Infantil y juvenil
Potter, Beatrix	The Tale of Peter Rabbit	Literatura Universal
Potter, Beatrix	The Tale of Peter Rabbit	Literatura Universal
Potter, Beatrix	The Tale of Peter Rabbit	Infantil y juvenil
Potter, Beatrix	The Tale of Peter Rabbit	Infantil y juvenil
Potter, Beatrix	The Tale of Mrs. Tiggy-Winkle	Infantil y juvenil
Potter, Beatrix	The Tale of Mrs. Tiggy-Winkle	Infantil y juvenil
Potter, Beatrix	The Tale of Benjamin Bunny	Infantil y juvenil
Potter, Beatrix	The Tale of Benjamin Bunny	Infantil y juvenil
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 5	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 4	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 3	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 2	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 1	Literatura Universal
Poe, Edgar Allan	Selección de cuentos (Poe, Edgar Allan)	Palabras sinfónicas (audiolibros)
Poe, Edgar Allan	Selección de cuentos (Poe, Edgar Allan)	Literatura Universal
Plutarco	Vidas paralelas	Ensayo
Plinio el Viejo	Historia Natural	Historia y Novela histórica
Platón	La República	Ensayo
Platón	El banquete	Ensayo
Plato	Crito	Literatura Universal
Pirandello, Luigi	Seis personajes en busca de autor	Literatura Universal
Peza, Juan de Dios	Leyendas de las calles de Méjico	Palabras sinfónicas (audiolibros)
Peza, Juan de Dios	Leyendas de las calles de Méjico	Literatura Hispanoamericana
Peza, Juan de Dios	Cuentos y recuerdos personales	Literatura Hispanoamericana
Pessoa, Fernando	Libro del desasosiego	Literatura Universal
Perrault, Charles	The Tales of Mother Goose	Infantil y juvenil
Pérez Galdós, Benito	Marianela	Palabras sinfónicas (audiolibros)
Pérez Galdós, Benito	Marianela	Literatura Universal
Pérez Galdós, Benito	El caballero encantado	Literatura Universal
Pérez Galdós, Benito	El abuelo	Literatura Universal
Pérez Galdós, Benito	Doña Perfecta	Literatura Universal
Perelmán, Yákov	Física recreativa 1	Académicos
Perelmán, Yákov	Física recreativa 1	Académicos
Perelmán, Yákov	Aritmética recreativa	Académicos
Perelmán, Yákov	Aritmética recreativa	Académicos
Perelmán, Yákov	¿Sabe Ud. Física?	Académicos
Perelmán, Yákov	¿Sabe Ud. Física?	Académicos
Payno, Manuel	Los bandidos de río frío	Literatura Hispanoamericana
Payno, Manuel	Costumbres mexicanas	Palabras sinfónicas (audiolibros)
Payno, Manuel	Costumbres mexicanas	Literatura Hispanoamericana
Payno, Manuel	Costumbres mexicanas	Historia y Novela histórica
Pavese, Cesare	La playa	Literatura Universal
Pavese, Cesare	El oficio de vivir	Ensayo
Pavese, Cesare	El camarada	Literatura Universal
Pardo Bazán, Emilia	Un viaje de novios	Literatura Universal
Pardo Bazán, Emilia	Un viaje de novios	Literatura Hispanoamericana
Pardo Bazán, Emilia	La sirena negra	Literatura Universal
Pardo Bazán, Emilia	La gota de sangre	Literatura Hispanoamericana
Pardo Bazán, Emilia	El saludo de las brujas	Literatura Universal
Pardo Bazán, Emilia	Doña Milagros	Literatura Universal
Pardo Bazán, Emilia	Cuentos de amor	Literatura Universal
Pardo Bazán, Emilia	Cuentos de amor	Literatura Hispanoamericana
Palma, Ricardo	Tradiciones peruanas	Literatura Hispanoamericana
Palma, Ricardo	Tradiciones peruanas	Historia y Novela histórica
Palma, Angélica	Crónicas de Marianela	Literatura Hispanoamericana
Palacio Valdés, Armando	La aldea perdida	Literatura Hispanoamericana
