AuthorName	TitleName	TagName
Ruiz de Alarcón, Juan	La verdad sospechosa	Literatura Hispanoamericana
Rousseau, Jean-Jacques	Emilio o De la Educación	Ensayo
Rousseau, Jean-Jacques	Emilio o De la Educación	Autoayuda
Róterdam, Erasmo de	Elogio de la locura	Literatura Universal
Rojas, Fernando de	La Celestina	Literatura Universal
Rojas, Fernando de	La Celestina	Literatura Hispanoamericana
Rodó, José	Ariel	Literatura Hispanoamericana
Rodó, José	Ariel	Ensayo
Rizal, José	Noli me tangere	Literatura Universal
Rizal, José	El filibusterismo	Literatura Universal
Rivera, José Eustasio	La vorágine	Literatura Hispanoamericana
Rivera, José Eustasio	La vorágine	Historia y Novela histórica
Riva Palacio, Vicente	Monja y Casada, Virgen y Mártir	Palabras sinfónicas (audiolibros)
Riva Palacio, Vicente	Monja y Casada, Virgen y Mártir	Literatura Hispanoamericana
Riva Palacio, Vicente	Memorias de un impostor	Literatura Hispanoamericana
Riva Palacio, Vicente	Memorias de un impostor	Historia y Novela histórica
Riva Palacio, Vicente	Los piratas del Golfo	Literatura Hispanoamericana
Riva Palacio, Vicente	Las dos emparedadas	Literatura Hispanoamericana
Riva Palacio, Vicente	Cuentos del general	Literatura Hispanoamericana
Rilke, Rainer Maria	Cartas a un joven poeta	Palabras sinfónicas (audiolibros)
Rilke, Rainer Maria	Cartas a un joven poeta	Autoayuda
Reed, John	Diez días que estremecieron al mundo	Ensayo
Rand, Ayn	La rebelión de Atlas	Literatura Universal
Rand, Ayn	¡Vivir!	Literatura Universal
Racine, Jean	Phaedra	Literatura Universal
Rabelais, François	Gargantúa y Pantagruel	Literatura Universal
