AuthorName	TitleName	TagName
Swift, Jonathan	Una humilde propuesta	Literatura Universal
Swift, Jonathan	Los viajes de Gulliver	Literatura Universal
Swift, Jonathan	Los viajes de Gulliver	Infantil y juvenil
Swift, Jonathan	Gulliver's Travels into Several Remote Nations of the World	Infantil y juvenil
Swift, Jonathan	A modest proposal	Literatura Universal
Swett Marden, Orison	La alegría de vivir	Autoayuda
Stuart Mill, John	Sobre la libertad	Autoayuda
Storni, Alfonsina	Poemas (Storni, Alfonsina)	Literatura Hispanoamericana
Stoker, Bram	Drácula	Literatura Universal
Stoker, Bram	Dracula	Infantil y juvenil
Stevenson, Robert Louis	Treasure Island	Literatura Universal
Stevenson, Robert Louis	The wrong box	Literatura Universal
Stevenson, Robert Louis	The Strange Case of Dr. Jekyll and Mr. Hyde	Infantil y juvenil
Stevenson, Robert Louis	La isla del tesoro	Infantil y juvenil
Stevenson, Robert Louis	El extraño caso del doctor Jekyll y el señor Hyde	Palabras sinfónicas (audiolibros)
Stevenson, Robert Louis	El extraño caso del doctor Jekyll y el señor Hyde	Literatura Universal
Stevenson, Robert Louis	Aventuras de un cadáver	Literatura Universal
Stevenson, Robert Louis	Aventuras de un cadáver	Infantil y juvenil
Stevenson, Robert Louis	Apología del ocio	Ensayo
Stendhal	The Red and the Black: A Chronicle of 1830	Literatura Universal
Stendhal	Rojo y negro	Literatura Universal
Spyri, Johanna	Heidi	Infantil y juvenil
Spyri, Johanna	Heidi	Infantil y juvenil
Sōseki, Natsume	Sueño de la libélula	Literatura Universal
Sōseki, Natsume	Almohada de hierba	Literatura Universal
Sophocles	Oedipus at Colonus	Literatura Universal
Sophocles	King Oedipus	Literatura Universal
Sophocles	Electra	Literatura Universal
Sophocles	Antigone	Literatura Universal
Sophocles	Aias	Literatura Universal
Sófocles	Electra	Literatura Universal
Sófocles	Edipo Rey	Palabras sinfónicas (audiolibros)
Sófocles	Edipo rey	Literatura Universal
Sófocles	Edipo en Colono	Literatura Universal
Sófocles	Áyax	Literatura Universal
Sófocles	Antígona	Literatura Universal
Smith, Adam	La teoría de los sentimientos morales	Ensayo
Smith, Adam	La riqueza de las naciones	Literatura Universal
Smith, Adam	La mano invisible	Ensayo
Smiles, Samuel	El carácter	Autoayuda
Sixto, José	Memorias de un vigilante	Literatura Hispanoamericana
Sinúes, María del Pilar	La mujer en nuestros días	Ensayo
Simeón, Rémi	Diccionario de la lengua náhuatl o mexicana. Vol 1	Académicos
Simeón, Rémi	Diccionario de la lengua náhuatl o mexicana. Vol 1	Académicos
Sierra, Justo	Evolución política del pueblo mexicano	Historia y Novela histórica
Shelley, Mary	The Modern Prometheus	Infantil y juvenil
Shelley, Mary	Frankenstein	Literatura Universal
Shaw, George Bernard	Pigmalión	Literatura Universal
Shakespeare, William	The Tragedy of King Lear	Literatura Universal
Shakespeare, William	The Tempest	Literatura Universal
Shakespeare, William	The Taming of the Shrew	Literatura Universal
Shakespeare, William	The Merchant of Venice	Literatura Universal
Shakespeare, William	Romeo y Julieta	Literatura Universal
Shakespeare, William	Romeo and Juliet	Literatura Universal
Shakespeare, William	Othello	Literatura Universal
Shakespeare, William	Otelo	Literatura Universal
Shakespeare, William	Mucho ruido y pocas nueces	Literatura Universal
Shakespeare, William	Macbeth	Literatura Universal
Shakespeare, William	Macbeth	Literatura Universal
Shakespeare, William	La tempestad	Literatura Universal
Shakespeare, William	La fierecilla domada	Literatura Universal
Shakespeare, William	Julius Caesar	Literatura Universal
Shakespeare, William	Julio César	Literatura Universal
Shakespeare, William	Hamlet, Prince of Denmark	Literatura Universal
Shakespeare, William	Hamlet	Literatura Universal
