AuthorName	TitleName	TagName
Voltaire	Letters on England	Literatura Universal
Voltaire	Diccionario filosófico. Vol. 1	Académicos
Voltaire	Cándido o el optimismo	Literatura Universal
Voltaire	Candide	Literatura Universal
Virgilio	Eneida	Literatura Universal
Virgil	The Aeneid	Literatura Universal
Vikelas, Dimitrios	En casa del oculista	Literatura Universal
Verne, Julio	Viaje al centro de la tierra	Literatura Universal
Verne, Julio	Viaje al centro de la tierra	Infantil y juvenil
Verne, Julio	Veinte mil leguas de viaje submarino	Literatura Universal
Verne, Julio	Veinte mil leguas de viaje submarino	Infantil y juvenil
Verne, Julio	La vuelta al mundo en 80 días	Palabras sinfónicas (audiolibros)
Verne, Julio	La vuelta al mundo en 80 días	Literatura Universal
Verne, Julio	La isla misteriosa	Literatura Universal
Verne, Julio	La esfinge de los hielos	Literatura Universal
Verne, Julio	Dueño del mundo	Literatura Universal
Verne, Julio	De la tierra a la luna	Literatura Universal
Verne, Julio	Ante la bandera	Literatura Universal
Verne, Julio	Alrededor de la luna	Literatura Universal
Verne, Jules	Twenty Thousand Leagues under the Sea	Infantil y juvenil
Verne, Jules	The Mysterious Island	Infantil y juvenil
Verne, Jules	From the Earth to the Moon	Infantil y juvenil
Verne, Jules	Around the World in Eighty Days	Infantil y juvenil
Verne, Jules	A Journey to the Center of the Earth	Infantil y juvenil
Vega, Lope de	La discreta enamorada	Literatura Hispanoamericana
Vega, Lope de	El perro del hortelano	Literatura Hispanoamericana
Vega, Inca Garcilaso de la	Comentarios reales de los Incas	Historia y Novela histórica
Vasconcelos, José	La raza cósmica	Palabras sinfónicas (audiolibros)
Vasconcelos, José	La Raza Cósmica	Literatura Hispanoamericana
Vasconcelos, José	La Raza Cósmica	Ensayo
Vallejo, César	Selección de poemas (Vallejo, César)	Literatura Hispanoamericana
Vallejo, César	Paco Yunque	Infantil y juvenil
Valle Inclán, Ramón María del	Tirano Banderas	Historia y Novela histórica
Valera, Juan	Pepita Jiménez	Palabras sinfónicas (audiolibros)
Valera, Juan	Pepita Jiménez	Literatura Universal
Valera, Juan	Pepita Jiménez	Literatura Hispanoamericana
Valera, Juan	Junita la larga	Palabras sinfónicas (audiolibros)
Valera, Juan	Juanita la Larga	Literatura Universal
Valera, Juan	Juanita la Larga	Literatura Hispanoamericana
Valdelomar, Abraham	El vuelo de los cóndores	Literatura Hispanoamericana
