AuthorName	TitleName	TagName
Williams, Florence White	The Little Red Hen	Infantil y juvenil
Williams, Florence White	Álgebra recreativa	Académicos
Wilde, Oscar	The Picture of Dorian Gray	Infantil y juvenil
Wilde, Oscar	The Canterville Ghost	Literatura Universal
Wilde, Oscar	Las artes decorativas y la filosofía del vestido	Ensayo
Wilde, Oscar	La importancia de llamarse Ernesto	Literatura Universal
Wilde, Oscar	El secreto de la vida	Literatura Universal
Wilde, Oscar	El retrato de Dorian Gray	Palabras sinfónicas (audiolibros)
Wilde, Oscar	El retrato de Dorian Gray	Literatura Universal
Wilde, Oscar	El fantasma de Canterville	Literatura Universal
Wilde, Oscar	Cuentos completos	Literatura Universal
Wharton, Edith	La edad de la inocencia	Literatura Universal
Wells, H. G.	La puerta en el muro	Literatura Universal
Wells, H. G.	La máquina del tiempo	Literatura Universal
Wells, H. G.	La guerra de los mundos	Literatura Universal
Wells, H. G.	El país de los ciegos	Literatura Universal
Wells, H. G.	El hombre invisible	Literatura Universal
Weber, Max	Economía y sociedad	Ensayo
Washington, Irving	The Legend of Sleepy Hollow	Infantil y juvenil
Washington, Irving	La leyenda de Sleepy Hollow y otros cuentos de fantasmas	Literatura Universal
Waldo Emerson, Ralph	Essays	Literatura Universal
